date;time;total
2022-02-27;17:59:40;0
2022-02-27;18:00:21;0
2022-02-27;19:02:21;0
2022-02-27;19:26:05;0
2022-02-27;19:27:25;0
2022-02-27;19:33:54;0
2022-02-27;19:36:48;0
2022-02-27;21:08:26;0
2022-02-27;21:09:06;0
2022-02-27;21:13:10;0
2022-02-27;21:13:57;0
2022-02-27;21:15:35;0
2022-02-27;21:20:10;0
2022-02-27;21:21:14;0
2022-02-27;21:21:58;0
2022-02-27;21:26:08;0
2022-02-28;5:11:09;0
2022-02-28;5:11:49;0
2022-02-28;5:29:06;0
2022-02-28;5:30:16;0
2022-02-28;5:30:57;0
2022-02-28;5:31:39;0
2022-02-28;5:32:23;0
2022-02-28;5:33:04;0
2022-02-28;5:33:45;0
2022-02-28;5:40:33;0
2022-02-28;5:41:15;1
2022-02-28;5:42:17;1
2022-02-28;5:43:36;0
2022-02-28;5:44:16;0
2022-02-28;5:45:12;0
2022-02-28;6:02:51;0
2022-02-28;6:03:41;0
2022-02-28;6:04:34;0
2022-02-28;6:07:51;0
2022-02-28;6:14:14;0
2022-02-28;6:15:05;1
2022-02-28;6:15:44;0
2022-02-28;16:55:13;0
2022-02-28;16:56:13;0
2022-02-28;16:58:55;0
2022-02-28;17:01:36;0
2022-02-28;17:02:55;0
2022-02-28;17:21:05;0
2022-02-28;17:22:02;0
2022-02-28;17:29:02;0
2022-02-28;17:57:35;0
2022-02-28;17:58:35;0
2022-02-28;17:59:14;0
2022-02-28;18:12:43;0
2022-02-28;18:13:31;0
2022-02-28;18:14:11;0
2022-02-28;18:42:06;0
2022-02-28;18:52:47;0
2022-02-28;18:53:31;0
2022-02-28;21:22:51;0
2022-02-28;21:23:30;0
2022-02-28;21:31:01;0
2022-02-28;21:32:00;0
2022-02-28;21:33:57;0
2022-02-28;21:34:58;0
2022-03-01;5:36:38;0
2022-03-01;5:38:11;0
2022-03-01;5:41:22;0
2022-03-01;5:42:02;0
2022-03-01;5:47:04;0
2022-03-01;5:48:01;0
2022-03-01;5:49:12;0
2022-03-01;5:50:23;0
2022-03-01;6:00:16;0
2022-03-01;6:04:30;0
2022-03-01;6:05:51;1
2022-03-01;6:06:38;0
2022-03-01;6:07:38;0
2022-03-01;6:09:06;0
2022-03-01;6:10:39;0
2022-03-01;6:35:29;0
2022-03-01;8:05:39;1
2022-03-01;8:07:14;0
2022-03-01;11:09:04;0
2022-03-01;15:29:44;0
2022-03-01;18:10:44;0
2022-03-01;18:11:24;0
2022-03-01;18:13:31;0
2022-03-01;18:15:44;0
2022-03-01;18:17:20;0
2022-03-01;18:26:09;0
2022-03-01;18:27:58;0
2022-03-01;18:34:47;0
2022-03-01;18:35:48;0
2022-03-01;18:36:31;0
2022-03-01;19:01:22;1
2022-03-01;19:03:00;0
2022-03-01;19:41:02;0
2022-03-01;21:25:28;0
2022-03-01;21:26:11;0
2022-03-01;21:28:43;0
2022-03-01;21:29:52;0
2022-03-01;21:32:24;0
2022-03-01;21:33:04;0
2022-03-01;21:34:32;0
2022-03-01;21:35:18;0
2022-03-02;5:32:16;0
2022-03-02;5:38:13;0
2022-03-02;5:39:10;0
2022-03-02;5:39:51;0
2022-03-02;5:52:58;0
2022-03-02;5:54:04;1
2022-03-02;5:55:04;1
2022-03-02;5:56:42;2
2022-03-02;5:57:39;0
